Table with column headers in row 3,,,,
State Postal Code,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,Higley Unified District,"93,112","20,207","1,000"
AZ,Hillside Elementary District,93,17,2
AZ,Holbrook Unified District,"9,891","1,948",644
AZ,Humboldt Unified District,"64,343","8,867","1,312"
AZ,Hyder Elementary District,348,36,10
AZ,Indian Oasis-Baboquivari Unified District,"6,505","1,410",189
AZ,Isaac Elementary District,"44,375","6,896","2,032"
AZ,J. O. Combs Unified School District,"47,906","9,987",673
AZ,Joseph City Unified District,"1,791",379,118
AZ,Kayenta Unified District,"10,280","2,389",916
AZ,Kingman Unified School District,"75,087","9,416","2,052"
AZ,Kirkland Elementary District,"1,160",122,28
AZ,Klondyke Elementary District,90,13,3
AZ,Kyrene Elementary District,"164,769","17,106","1,151"
AZ,Lake Havasu Unified District,"62,843","6,646","1,167"
AZ,Laveen Elementary District,"56,841","8,777","1,301"
AZ,Liberty Elementary District,"41,836","5,727",482
AZ,Litchfield Elementary District,"109,511","13,864","1,093"
AZ,Littlefield Unified District,"3,284",357,103
AZ,Littleton Elementary District,"53,846","8,543","1,147"
AZ,Madison Elementary District,"64,429","5,166",571
AZ,Maine Consolidated School District,"1,450",180,48
AZ,Mammoth-San Manuel Unified District,"4,861",761,164
AZ,Marana Unified District,"105,662","17,630","1,435"
AZ,Maricopa Unified School District,"67,063","12,846","1,190"
AZ,Mayer Unified District,"6,071",715,206
AZ,McNary Elementary District,513,159,52
AZ,McNeal Elementary District,440,84,17
AZ,Mesa Unified District,"509,979","80,162","11,825"
AZ,Miami Unified District,"6,857","1,192",316
AZ,Mingus Union High School District,"36,591","1,437",240
AZ,Mobile Elementary District,74,5,0
AZ,Mohave Valley Elementary District,"24,570","2,083",429
AZ,Mohawk Valley Elementary District,"1,032",97,22
AZ,Morenci Unified District,"6,664","1,412",95
AZ,Morristown Elementary District,"1,774",187,31
AZ,Murphy Elementary District,"15,947","1,719",569
AZ,Naco Elementary District,"1,220",278,63
AZ,Nadaburg Unified School District,"10,286","1,692",184
AZ,Nogales Unified District,"21,435","4,320","1,420"
AZ,Oracle Elementary District,"17,307",857,147
AZ,Osborn Elementary District,"43,374","3,411",706
AZ,Owens-Whitney Elementary District,571,66,21
AZ,Page Unified District,"12,538","2,627",723
AZ,Palo Verde Elementary District,"3,155",462,63
AZ,Paloma School District,177,57,9
AZ,Palominas Elementary District,"10,161","1,416",256
AZ,Paradise Valley Unified District,"275,272","40,525","3,727"
AZ,Parker Unified School District,"9,362","1,433",435
AZ,Patagonia Elementary District,"1,411",95,26
AZ,Patagonia Union High School District,"3,235",107,22
AZ,Payson Unified District,"23,012","2,684",576
AZ,Peach Springs Unified District,"1,380",331,123
AZ,Pearce Elementary District,"1,925",118,36
AZ,Pendergast Elementary District,"79,103","11,202","1,922"
AZ,Peoria Unified School District,"258,886","43,558","4,418"
AZ,Phoenix Elementary District,"60,413","5,522","1,570"
AZ,Phoenix Union High School District,"744,116","40,134","7,598"
AZ,Picacho Elementary District,"7,378",111,26
AZ,Pima Unified District,"4,248","1,018",114
AZ,Pine Strawberry Elementary District,"2,943",211,49
AZ,Pinon Unified District,"6,775","1,441",637
AZ,Pomerene Elementary District,918,130,25
AZ,Prescott Unified District,"64,878","5,600",710
AZ,Quartzsite Elementary District,"3,780",125,26
AZ,Queen Creek Unified District,"67,829","14,994",568
AZ,Ray Unified District,"3,197",545,124
AZ,Red Mesa Unified District,"7,132","1,415",370
AZ,Red Rock Elementary District,"4,077",587,63
AZ,Redington Elementary District,85,18,1
AZ,Riverside Elementary District,"7,857","1,348",274
AZ,Roosevelt Elementary District,"123,127","17,142","3,793"
AZ,Round Valley Unified District,"7,377","1,423",335
AZ,Sacaton Elementary District,"8,645","1,395",295
AZ,Saddle Mountain Unified School District,"14,752","3,202",372
AZ,Safford Unified District,"17,392","3,335",442
AZ,Sahuarita Unified District,"31,898","6,638",510
AZ,Salome Consolidated Elementary District,"2,026",74,26
AZ,San Carlos Unified District,"8,203","2,130",630
AZ,San Fernando Elementary District,52,5,1
AZ,San Simon Unified District,670,74,34
